"","Amostra","Amostra2","Species","Site","Latitude","Longitude","Data","Sepal_length_cm","Sepal_width_cm","Petal_length_cm","Petal_width_cm"
"71","A119","A104","Iris setosa",2,48.540502,-64.766512,"13/02/1930",6.3,2.9,5.6,1.8
"72","A136","A106","Iris setosa",3,48.329837,-65.512333,"01/12/1929",7.6,3,6.6,2.1
"73","A104","A111","Iris setosa",1,48.935966,-64.840984,"01/12/1929",6.5,3.2,5.1,2
"74","A112","A135","Iris setosa",1,48.935966,-64.840984,"01/12/1929",6.1,2.6,5.6,1.4
"75","A147","A139","Iris setosa",3,48.329837,-65.512333,"01/12/1929",6,3,4.8,1.8
"76","A150","A17","Iris virginica",1,48.935966,-64.840984,"01/12/1929",5.9,3,5.1,1.8
"77","A137","A130","Iris virginica",2,48.540502,-64.766512,"13/02/1930",6.3,3.4,5.6,2.4
"78","A81","A61","Iris versicolor",1,48.935966,-64.840984,"01/12/1929",5.5,2.4,3.8,1.1
"79","A31","A38","Iris setosa",3,48.329837,-65.512333,"01/12/1929",4.8,3.1,1.6,0.2
"80","A134","A129","Iris virginica",2,48.540502,-64.766512,"13/02/1930",6.3,2.8,5.1,1.5
"81","A113","A122","Iris virginica",2,48.540502,-64.766512,"13/02/1930",6.8,3,5.5,2.1
"82","A40","A41","Iris setosa",3,48.329837,-65.512333,"01/12/1929",5.1,3.4,1.5,0.2
"83","A96","A66","Iris versicolor",1,48.935966,-64.840984,"01/12/1929",5.7,3,4.2,1.2
"84","A52","A84","Iris versicolor",3,48.329837,-65.512333,"01/12/1929",6.4,3.2,4.5,1.5
"85","A109","A137","Iris virginica",3,48.329837,-65.512333,"01/12/1929",6.7,2.5,5.8,1.8
"86","A85","A95","Iris versicolor",3,48.329837,-65.512333,"01/12/1929",5.4,3,4.5,1.5
"87","A136","A146","Iris virginica",3,48.329837,-65.512333,"01/12/1929",7.7,3,6.1,2.3
"88","A86","A79","Iris versicolor",2,48.540502,-64.766512,"13/02/1930",6,3.4,4.5,1.6
"89","A89","A80","Iris versicolor",2,48.540502,-64.766512,"13/02/1930",5.6,3,4.1,1.3
"90","A57","A53","Iris versicolor",1,48.935966,-64.840984,"01/12/1929",6.3,3.3,4.7,1.6
"91","A143","A127","Iris virginica",3,48.329837,-65.512333,"01/12/1929",6.2,2.8,4.8,1.8
"92","A44","A49","Iris setosa",3,48.329837,-65.512333,"01/12/1929",5.3,3.7,1.5,0.2
"93","A100","A100","Iris versicolor",3,48.329837,-65.512333,"01/12/1929",5.7,2.8,4.1,1.3
"94","A12","A3","Iris setosa",1,48.935966,-64.840984,"01/12/1929",4.7,3.2,1.3,0.2
"95","A131","A140","Iris virginica",2,48.540502,-64.766512,"13/02/1930",6.9,3.1,5.4,2.1
"96","A145","A133","Iris virginica",3,48.329837,-65.512333,"01/12/1929",6.4,2.8,5.6,2.2
"97","A132","A143","Iris virginica",2,48.540502,-64.766512,"13/02/1930",5.8,2.7,5.1,1.9
"98","A47","A7","Iris setosa",3,48.329837,-65.512333,"01/12/1929",4.6,3.4,1.4,0.3
"99","A150","A148","Iris virginica",3,48.329837,-65.512333,"01/12/1929",6.5,3,5.2,2
"100","A98","A94","Iris versicolor",3,48.329837,-65.512333,"01/12/1929",5,2.3,3.3,1
"101","A87","A61","Iris versicolor",3,48.329837,-65.512333,"01/12/1929",5,2,3.5,1
"102","A14","A9","Iris setosa",1,48.935966,-64.840984,"01/12/1929",4.4,2.9,1.4,0.2
"103","A63","A87","Iris versicolor",1,48.935966,-64.840984,"01/12/1929",6.7,3.1,4.7,1.5
"104","A141","A121","Iris virginica",3,48.329837,-65.512333,"01/12/1929",6.9,3.2,5.7,2.3
"105","A57","A69","Iris versicolor",1,48.935966,-64.840984,"01/12/1929",6.2,2.2,4.5,1.5
